latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-37.74223,148.95642,332.22,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,288.54,13.55,D,0
-37.71418,149.10663,337.66,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.67,27.01,D,0
-37.71492,149.10214,355.81,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,297.94,24.59,D,0
-37.71566,149.09767,352.81,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,309.68,24.59,D,0
-37.71638,149.09323,350.92,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,311.88,31.62,D,0
-37.71711,149.08878,352.17,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,308.92,31.62,D,0
-37.71785,149.08434,354.25,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,304.89,25.56,D,0
-37.71857,149.0799,352.16,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,305.18,25.56,D,0
-37.7193,149.07544,341.54,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.57,22.71,D,0
-37.72003,149.071,355.8,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.18,22.71,D,0
-37.72076,149.06657,340.96,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.9,18.06,D,0
-37.72294,149.05325,330.45,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.22,17.29,D,0
-37.72439,149.04437,338.93,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.86,32.11,D,0
-37.72584,149.03546,333.4,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,291.55,8.37,D,0
-37.72731,149.02655,338.16,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.95,6.67,D,0
-37.72803,149.02208,341.6,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.43,6.73,D,0
-37.72876,149.01764,349.7,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,294.33,6.73,D,0
-37.73021,149.00876,356.11,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,299.11,27.59,D,0
-37.73093,149.00435,345.9,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.9,51.74,D,0
-37.73165,148.99992,348.49,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,299.07,51.74,D,0
-37.73672,148.96884,347.26,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,296.31,13.18,D,0
-37.73744,148.9644,341.54,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,290.58,13.18,D,0
-37.73816,148.95998,356.14,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,292.62,15.21,D,0
-37.73888,148.95555,335.38,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,288.61,15.21,D,0
-37.72512,149.03992,357.04,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,295.09,8.37,D,0
-37.72948,149.01318,357.04,0.39,0.36,2020-01-04,400,N,VIIRS,l,2,295.98,27.59,D,0
-37.70862,149.11917,351.21,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,293.85,16.85,D,0
-37.70936,149.1147,354.92,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,300.11,16.85,D,0
-37.71009,149.11023,353.33,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,307.02,27.01,D,0
-37.71084,149.10573,352.08,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,309.04,27.01,D,0
-37.71668,149.07013,356.64,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,305.94,22.71,D,0
-37.7174,149.06569,352.57,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,304.73,18.06,D,0
-37.71886,149.05682,356.04,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,302.2,17.29,D,0
-37.72031,149.04794,343.04,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,311.6,32.11,D,0
-37.72104,149.04349,351.66,0.39,0.36,2020-01-04,400,N,VIIRS,n,2,297.65,32.11,D,0
